;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
ACCESORIOS;;;;;;;;;;;
000000001012;;ADAPTADOR BLUETOOH 5.0 USB DONGLE;;BLUETOOH 5.0;;4,79;;MESES;;;
000000000688;;"ADAPTADOR DE ENCHUFE ARGOM ARG-AC-0266WT 3 SALIDAS / 2 USB
110V BLANCO";;ARG-AC-0266WT;;8,44;;3 MESES;;;
000000001765;;ADAPTADOR DE SONIDO USB 5.1;;ADAP SONIDO USB 5.1;;6,60;;N/A;;;
000000001635;;ADAPTADOR DE SONIDO USB 7.1 AVION;;SONIDO USB 7.1AVION;;6,60;;N/A;;;
000000001068;;ADAPTADOR TP-LINK UC400 3.0 USB A USB-A;;UC400 USB 3.0 USB A;;6,37;;12 MESES;;;
000000000910;;ALMOHADILLA ARGON PARA JUEGO COMBAT ARG-AC-1227BK;;ARG-AC-1227BK;;9,45;;N/A;;;
000000000912;;ALMOHADILLA PARA JUEGO COMBAT ARG-AC-1226BK;;ARG-AC-1226BK;;7,50;;N/A;;;
000000001701;;"AUDIFONO ESTEREO METRO 78 ARG-HS-0078 CON MICROFONO Y
CONTROL VOLUMEN ARGOM";;ARG-HS-0078;;12,68;;3 MESES;;;
000000000946;;AUDIFONO GAMING ARGON ARG-HS-2845BK COMBAT USB BLACK/BLUE;;ARG-HS-2845BK;;19,54;;3 MESES;;;
000000000210;;AUDIFONO U CORPORATION AUDISTE-U STEREO PLUG 3.5MM;;3.5 USB;;9,64;;3 MESES;;;
000000001510;;AUDIFONOS DE UNICORNIO HS BK 681;;HS BK 681;;14,04;;1 MES;;;
000000001769;;AUDIFONOS MZ47;;AUDIFONOS MZ47;;12,08;;1 MES;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 1/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000000944;;"BACKPACK ARGOM ELEVATION 15.6"" ARG-BP-0718BK";;ARG-BP-0718BK;;18,33;;N/A;;;
000000000716;;"BASE AJUSTABLE PARA PORTATIL ARG-CF-1594 CON 1 VENTILADOR y
2-PUERTOS USB 2.0 ARGOM";;ARG-CF-1594;;11,28;;N/A;;;
000000001647;;"BOLSO PARA IPAD / TABLA 10"" NYLON WEL-I101";;WEL-I101;;3,00;;N/A;;;
000000001732;;"BOMBILLO LED INTELIGENTE COMPATIBLE CON ALEXA 800 LUMENS
B11N11";;B11N11;;7,88;;N/A;;;
000000001590;;BOMBILLO LED RECARGABLE PICKENS PKRC-7813 38W;;PKRC-7813;;13,24;;N/A;;;
000000000725;;CABLE ADAPTADOR ARG-CB-0045 USB 2.0 A RJ45 15CM ARGOM;;ARG-CB-0045;;8,02;;N/A;;;
000000001252;;CABLE ADAPTADOR ARG-CB-0053 MINI DISPLAY A VGA ARGOM;;ARG-CB-0053;;6,00;;3 MESES;;;
000000000707;;CABLE ADAPTADOR ARG-CB-0056 PUERTO DISPLAY A VGA 15CM ARGOM;;ARG-CB-0056;;6,60;;N/A;;;
000000000708;;"CABLE ADAPTADOR DE PUERTO ARG-CB-0059 DISPLAY A HDMI -15 cm
ARGOM";;ARG-CB-0059;;5,92;;N/A;;;
000000000262;;CABLE ADAPTADOR DISPLAYPORT A HDMI;;DISPLAYPORT A HDMI;;2,98;;N/A;;;
000000000710;;"CABLE ADAPTADOR TIPO-C A ARG-CB-0062 GIGABIT RJ45 - 15cm
ARGOM";;ARG-CB-0062;;16,49;;N/A;;;
000000001234;;CABLE HDMI/HDMI M/M - 1.5 m;;HDMI/HDMI;;3,42;;N/A;;;
000000001766;;CABLE HDMI/HDMI M/M - 15 m;;HDMI/HDMI 15 M;;4,36;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 2/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001767;;CABLE HDMI/HDMI M/M - 20 m;;HDMI/HDMI 20 M;;4,36;;N/A;;;
000000000714;;CABLE HDMI/HDMI M/M - 3 m;;HDMI/HDMI 3 M;;4,36;;N/A;;;
000000000733;;"CAJA EXTERNA ADDLINK M2 PCIE & M2 SATA INTERFACE USB 3 2GEN
TYPE C";;M.2 USB 3 2G TYPE C;;19,20;;N/A;;;
000000001630;;"CAMARA SEGURIDAD NIGHT OWL BLUETOOH 8 CANALES DVR CON 1TB
HDD 1080P HD";;SCA.OWL CAM;;215,68;;3 MESES;;;
000000001263;;CAR BLUETOOTH 3.0+EDR 3.5MM STEREO;;3.0 + EDR;;9,44;;3 MESES;;;
000000001292;;CAR BLUETOOTH BT-450 VERDE;;BT-450;;9,44;;3 MESES;;;
000000001013;;CARGADOR PARA IPHONE 12;;CARGADOR IPHONE;;14,84;;N/A;;;
000000000724;;COMBO TECLADO Y MOUSE COMBAT USB ARG-KB-2051BK ARGOM;;ARG-KB-2051BK;;17,66;;1 MES;;;
000000001643;;CONTROL SIMPLE TV;;CONTROL SIMPLETV;;6,60;;N/A;;;
000000001713;;"CONTROLADOR DJ DE 2 CANALES PIONEER SERATO PARA DJ LITE
NEGRO DDJ-REV1";;DDJ-REV1;;325,67;;3 MESES;;;
0000000001095;;CORNETA U MULTIMEDIA USB 2.0;;USB 2.0;;3,93;;3 MESES;;;
000000001694;;"FUNDA PARA PORTATIL ARGOM DE 15.6"" ARG-SL-0015B NEGRO";;ARG-SL-0015B;;6,07;;N/A;;;
000000001761;;"FUNDA PARA PORTATIL WASH HORIZONTAL 10.1"" WEL-101-H";;WEL-101-H;;0,48;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 3/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001762;;"FUNDA PARA PORTATIL WASH HORIZONTAL 14.1"" WEL-141-H";;WEL-141-H;;0,84;;N/A;;;
000000001763;;"FUNDA PARA PORTATIL WASH VERTICAL 10.1"" WEL-101-V";;WEL-101-V;;0,50;;N/A;;;
000000001764;;"FUNDA PARA PORTATIL WASH VERTICAL 13.1"" WEL-131-V";;WEL-131-V;;0,88;;N/A;;;
000000001324;;GUAYA DE SEGURIDAD PARA LAPTOP IMEXX 25419;;25419;;1,80;;N/A;;;
000000001410;;INVERSOR 150W 12V IN / 220V-5V OUT;;150W 12V;;23,44;;N/A;;;
000000001695;;"MALETIN ARGOM AVENTURE ARG-BG-6784BK PARA LAPTOP 15.6""
ARGOM- NEGRO";;ARG-BG-6784BK;;17,34;;N/A;;;
000000001696;;"MALETIN ARGOM FLORENCIA ARG-BG-6782 PARA LAPTOP 15.6"" ARGOM-
NEGRO";;ARG-BG-6782;;17,45;;N/A;;;
000000000694;;"MALETIN ESSENTIAL ARG-BG-6772BK PARA LAPTOP 15.6"" ARGOM-
NEGRO CON GRIS ARGOM";;ARG-BG-6772BK;;9,47;;N/A;;;
000000000909;;MESA PARA JUEGOS DE COMBATE ERGO Z47 ARG-DK-9247BK;;ARG-DK-9247BK;;110,39;;N/A;;;
000000001511;;MICROFONO L20;;SPEAKER L20;;12,84;;1 MES;;;
000000001512;;MICROFONO LY 889;;SPEAKER LY 889;;13,38;;1 MES;;;
000000000911;;MOUSE CLASICO CON CONECTOR USB ARG-MS-0002;;ARG-MS-0002;;2,31;;3 MESES;;;
000000001760;;MOUSE DELUX USB M321BU NEGRO ROJO;;M321BU;;7,46;;6 MESES;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 4/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001557;;MOUSE GAMING MSI OPTIX CLUTH GM08;;GM08;;14,20;;3 MESES;;;
000000001675;;MOUSE HP X-55 USB;;HP X-55;;2,86;;3 MESES;;;
000000000323;;"MOUSE MYO GM6 GAMING DE 6 BOTONES, LUCES DE COLORES, USB
CABE 702";;MYO-GM6;;10,40;;3 MESES;;;
000000000475;;MOUSE NEGRO USB OEM BOLSITA;;M322;;4,20;;3 MESES;;;
000000001691;;MOUSE PAD ARGOM GEL 360 ARG-AC-1222 NEGRO;;ARG-AC-1222 NEGRO;;5,04;;3 MESES;;;
000000001110;;MOUSE PAD GAMING CHEKPOINT MP-200 BD2;;MP-200 PAD;;6,26;;S/G;;;
000000000838;;MOUSE U MUW-01 3D GAMING WIRELESS OPTICAL 3200 DPI USB 2.0;;MUW-01 USB 2.0;;7,87;;3 MESES;;;
000000000864;;MOUSE U MUW-02 1200 DPI USB RECARGABLE;;MUW-02;;5,24;;3 MESES;;;
000000001704;;MOUSE USB ARGOM OPTICO 3D MS14 ARG-MS-0014L AZUL;;ARG-MS-0014L;;4,58;;N/A;;;
000000001705;;MOUSE USB ARGOM OPTICO 3D MS14 ARG-MS-0014R ROJO;;ARG-MS-0014R;;4,58;;3 MESES;;;
000000000020;;MOUSE USB U-M01 OPTICAL;;U-M01;;2,76;;3 MESES;;;
000000000519;;MULTIBAND WIFI MAXWEST MOVIL 4G LTE;;MX-HUB4GLTE;;53,23;;N/A;;;
000000000868;;PASTA TERMICA;;PASTA TERMICA;;9,48;;S/G;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 5/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001172;;PEN DRIVE KINGSTON 256GB USB 3.2 EXODIA;;256GB;;19,50;;1 AÑO;;;
000000001330;;PLANTA ELECTRICA INSONORA AIMS POWER 800W;;GEN800W120;;380,00;;6 MESES;;;
000000001323;;PLANTA GENERADORA ELECTRICA LAUNTOP 800W 2 TIEMPOS;;800W;;149,00;;3 MESES;;;
000000000687;;REGLETA 6 TOMAS;;6 TOMAS;;5,92;;N/A;;;
